Entry_Time,Exit_Time,Type,Lots,Entry_Price,Exit_Price,Result,PnL,Balance_After,Daily_PnL
2026-05-28 08:20:07,2026-05-28 16:46:42,BUY,0.30000000000000004,25071.2,25055.3,SL_HIT,-4.77,9995.23,-4.77
2026-06-03 08:07:56,2026-06-03 08:08:05,BUY,0.30000000000000004,25025.3,25029.8,TP_HIT,1.35,9996.58,1.35
2026-06-09 08:55:08,2026-06-09 09:07:55,SELL,0.30000000000000004,24589.5,24644.5,SL_HIT,-16.5,9980.08,-16.5
2026-06-10 10:17:21,2026-06-10 10:17:33,BUY,0.30000000000000004,24391.0,24390.0,SL_HIT,-0.3,9979.78,-0.3
2026-06-10 10:17:51,2026-06-10 10:18:32,BUY,0.30000000000000004,24391.0,24383.5,SL_HIT,-2.25,9977.53,-2.55
2026-06-15 10:55:06,2026-06-16 09:00:02,SELL,0.30000000000000004,24955.4,24956.5,SL_HIT,-0.33,9977.2,-0.33
2026-06-19 07:15:08,2026-06-19 08:29:10,BUY,0.30000000000000004,24927.7,25001.5,TP_HIT,22.14,9999.34,22.14
2026-06-19 08:30:04,2026-06-19 14:13:16,BUY,0.30000000000000004,25006.5,25004.5,SL_HIT,-0.6,9998.74,21.54
2026-06-22 09:05:07,2026-06-22 09:30:17,SELL,0.30000000000000004,25043.1,25084.6,SL_HIT,-12.45,9986.29,-12.45
2026-06-26 07:30:08,2026-06-26 11:09:43,BUY,0.30000000000000004,24821.4,24704.7,SL_HIT,-35.01,9951.28,-35.01
2026-06-30 08:10:06,2026-06-30 09:00:02,SELL,0.30000000000000004,24787.5,24824.8,SL_HIT,-11.19,9940.09,-11.19
2026-07-01 10:55:03,2026-07-01 14:55:44,SELL,0.30000000000000004,25046.3,24956.0,TP_HIT,27.09,9967.18,27.09
2026-07-07 09:00:02,2026-07-07 11:01:59,BUY,0.30000000000000004,25787.4,25703.4,SL_HIT,-25.2,9941.98,-25.2
2026-07-10 10:53:24,2026-07-10 10:55:08,BUY,0.30000000000000004,25069.3,25079.8,TP_HIT,3.15,9945.13,3.15
2026-07-15 07:45:31,2026-07-15 07:46:57,BUY,0.30000000000000004,25039.9,25052.9,TP_HIT,3.9,9949.03,3.9
2026-07-15 08:44:59,2026-07-15 08:49:44,BUY,0.30000000000000004,25035.1,25019.6,SL_HIT,-4.65,9944.38,-0.75
2026-07-17 08:19:58,2026-07-20 08:35:45,BUY,0.30000000000000004,24739.8,24739.3,SL_HIT,-0.15,9944.23,-0.15
2026-07-29 08:35:05,2026-07-31 09:19:06,BUY,0.30000000000000004,25455.8,25825.1,TP_HIT,110.79,10055.02,110.79
2026-08-03 08:24:58,2026-08-03 09:11:34,SELL,0.30000000000000004,25863.5,25927.0,SL_HIT,-19.05,10035.97,-19.05
2026-08-13 09:10:02,2026-08-13 17:20:12,SELL,0.30000000000000004,26435.9,26311.0,TP_HIT,37.47,10073.44,37.47
2026-08-17 08:40:33,2026-08-17 08:46:23,BUY,0.30000000000000004,26472.9,26472.9,SL_HIT,-0.0,10073.44,0.0
2026-08-17 09:09:07,2026-08-17 09:11:02,BUY,0.30000000000000004,26472.4,26452.9,SL_HIT,-5.85,10067.59,-5.85
2026-08-18 09:18:11,2026-08-18 09:36:18,BUY,0.30000000000000004,26228.6,26222.6,SL_HIT,-1.8,10065.79,-1.8
2026-08-20 08:45:00,2026-08-20 08:56:55,SELL,0.30000000000000004,26122.0,26130.0,SL_HIT,-2.4,10063.39,-2.4
2026-08-20 09:07:12,2026-08-20 09:11:46,BUY,0.30000000000000004,26057.0,26039.5,SL_HIT,-5.25,10058.14,-7.65
