Entry_Time,Exit_Time,Type,Lots,Entry_Price,Exit_Price,Result,PnL,Balance_After,Daily_PnL
2026-05-28 08:40:04,2026-05-29 01:00:57,BUY,0.23,0.5887,0.59374,TP_HIT,99.49,10099.49,99.49
2026-06-02 10:30:07,2026-06-02 23:00:05,SELL,0.3,0.59331,0.5941,SL_HIT,-20.38,10079.11,-20.38
2026-06-09 09:55:08,2026-06-09 23:00:00,SELL,0.25,0.58263,0.58354,SL_HIT,-19.7,10059.41,-19.7
2026-06-15 09:20:05,2026-06-16 05:03:23,SELL,0.3,0.58467,0.58096,TP_HIT,96.07,10155.48,96.07
2026-06-16 08:35:05,2026-06-17 12:19:47,BUY,0.3,0.58119,0.58119,SL_HIT,-0.0,10155.48,0.0
2026-06-18 07:50:02,2026-06-18 10:47:24,SELL,0.3,0.57915,0.57715,TP_HIT,52.22,10207.7,52.22
2026-06-19 09:05:08,2026-06-22 09:48:43,BUY,0.26,0.57433,0.57207,SL_HIT,-51.34,10156.35,-51.34
2026-06-22 10:25:02,2026-06-22 14:24:40,BUY,0.3,0.57226,0.5735,TP_HIT,32.46,10188.81,-18.89
2026-06-30 09:55:07,2026-06-30 11:06:32,SELL,0.3,0.56546,0.56546,SL_HIT,-0.0,10188.81,0.0
2026-07-03 10:25:09,2026-07-05 23:00:00,SELL,0.3,0.57189,0.57206,SL_HIT,-4.46,10184.35,-4.46
2026-07-07 10:25:06,2026-07-07 16:03:41,BUY,0.3,0.56937,0.56843,SL_HIT,-24.67,10159.68,-24.67
2026-07-16 10:45:01,2026-07-16 23:00:16,SELL,0.3,0.58509,0.58561,SL_HIT,-13.63,10146.05,-13.63
2026-07-17 10:39:48,2026-07-17 11:01:44,BUY,0.3,0.58322,0.5827,SL_HIT,-13.64,10132.41,-13.64
2026-07-20 08:15:01,2026-07-20 09:34:15,SELL,0.3,0.58503,0.58634,SL_HIT,-34.33,10098.08,-34.33
2026-07-23 09:01:07,2026-07-23 09:29:59,BUY,0.3,0.58126,0.58075,SL_HIT,-13.39,10084.69,-13.39
2026-07-27 07:15:02,2026-07-27 14:14:34,BUY,0.3,0.58004,0.57857,SL_HIT,-38.74,10045.95,-38.74
2026-07-28 07:06:37,2026-07-28 09:20:56,BUY,0.3,0.5766,0.57761,TP_HIT,26.65,10072.6,26.65
2026-07-29 09:59:56,2026-07-29 16:02:57,SELL,0.3,0.5786,0.57862,SL_HIT,-0.53,10072.07,-0.53
2026-08-03 08:00:03,2026-08-03 08:49:43,BUY,0.3,0.58853,0.58757,SL_HIT,-24.99,10047.08,-24.99
2026-08-13 10:44:55,2026-08-14 09:00:12,BUY,0.3,0.58363,0.58704,TP_HIT,88.61,10135.69,88.61
