Entry_Time,Exit_Time,Type,Lots,Entry_Price,Exit_Price,Result,PnL,Balance_After,Daily_PnL
2026-05-28 07:45:01,2026-05-28 14:30:14,BUY,0.3,1.16,1.16333,TP_HIT,85.87,10085.87,85.87
2026-05-29 08:15:01,2026-05-29 10:49:26,BUY,0.3,1.16479,1.1632,SL_HIT,-41.01,10044.87,-41.01
2026-06-08 09:00:01,2026-06-08 13:20:30,SELL,0.22,1.15158,1.15418,SL_HIT,-49.56,9995.31,-49.56
2026-06-15 10:50:10,2026-06-16 23:00:47,SELL,0.22,1.15978,1.16332,SL_HIT,-66.95,9928.36,-66.95
2026-06-18 07:40:01,2026-06-18 08:33:55,SELL,0.3,1.15161,1.15284,SL_HIT,-32.01,9896.35,-32.01
2026-06-19 09:05:08,2026-06-23 09:42:02,BUY,0.17,1.14492,1.14155,SL_HIT,-50.19,9846.17,-50.19
2026-06-25 07:45:02,2026-06-25 10:01:06,SELL,0.3,1.13627,1.13628,SL_HIT,-0.26,9845.9,-0.26
2026-06-29 10:50:00,2026-06-29 16:21:12,SELL,0.28,1.13965,1.14172,SL_HIT,-50.77,9795.14,-50.77
2026-07-06 09:20:07,2026-07-06 11:50:43,BUY,0.3,1.14259,1.14144,SL_HIT,-30.22,9764.91,-30.22
2026-07-07 10:25:08,2026-07-07 17:59:01,BUY,0.3,1.1433,1.14224,SL_HIT,-27.84,9737.07,-27.84
2026-07-14 08:30:01,2026-07-14 10:26:38,SELL,0.3,1.13873,1.13988,SL_HIT,-30.27,9706.8,-30.27
2026-07-17 09:09:55,2026-07-17 10:18:13,SELL,0.3,1.14484,1.14365,TP_HIT,31.22,9738.02,31.22
2026-07-20 08:15:01,2026-07-20 09:33:11,SELL,0.3,1.14372,1.14472,SL_HIT,-26.21,9711.81,-26.21
2026-07-21 07:59:59,2026-07-21 09:01:09,SELL,0.3,1.14188,1.1424,SL_HIT,-13.66,9698.16,-13.66
2026-07-23 08:35:03,2026-07-23 12:45:36,SELL,0.3,1.14269,1.14049,TP_HIT,57.87,9756.03,57.87
2026-07-29 08:25:04,2026-07-29 16:29:22,SELL,0.3,1.13942,1.13942,SL_HIT,-0.0,9756.03,0.0
2026-07-31 08:29:57,2026-07-31 12:22:45,BUY,0.3,1.15202,1.15023,SL_HIT,-46.69,9709.34,-46.69
2026-08-03 08:00:05,2026-08-03 08:43:40,BUY,0.3,1.1537,1.15247,SL_HIT,-32.02,9677.32,-32.02
2026-08-03 08:55:01,2026-08-03 09:17:22,BUY,0.3,1.15269,1.15216,SL_HIT,-13.8,9663.52,-45.82
2026-08-05 09:09:55,2026-08-05 10:21:14,SELL,0.3,1.15418,1.1542,SL_HIT,-0.52,9663.0,-0.52
2026-08-05 10:49:57,2026-08-05 13:25:40,SELL,0.3,1.15335,1.1549,SL_HIT,-40.26,9622.74,-40.78
2026-08-13 09:10:02,2026-08-13 12:29:55,BUY,0.3,1.15191,1.15377,TP_HIT,48.36,9671.1,48.36
2026-08-14 08:19:56,2026-08-14 09:02:29,SELL,0.3,1.15408,1.15463,SL_HIT,-14.29,9656.81,-14.29
2026-08-18 08:14:59,2026-08-18 10:23:58,BUY,0.3,1.15695,1.15693,SL_HIT,-0.52,9656.29,-0.52
