Entry_Time,Exit_Time,Type,Lots,Entry_Price,Exit_Price,Result,PnL,Balance_After,Daily_PnL
2026-05-28 08:10:10,2026-05-28 17:56:26,BUY,0.30000000000000004,7513.1,7560.1,TP_HIT,12.1,10012.1,12.1
2026-06-04 10:05:01,2026-06-04 11:05:46,SELL,0.30000000000000004,7539.4,7524.9,TP_HIT,3.74,10015.85,3.74
2026-06-17 08:55:07,2026-06-17 08:58:02,SELL,0.30000000000000004,7534.3,7536.3,SL_HIT,-0.52,10015.33,-0.52
2026-06-19 09:00:07,2026-06-22 00:09:01,BUY,0.30000000000000004,7472.8,7472.4,SL_HIT,-0.1,10015.22,-0.1
2026-06-25 10:20:07,2026-06-25 14:30:27,SELL,0.30000000000000004,7417.5,7417.9,SL_HIT,-0.11,10015.12,-0.11
2026-06-26 08:30:10,2026-06-26 17:30:34,BUY,0.30000000000000004,7320.0,7381.4,TP_HIT,16.15,10031.27,16.15
2026-06-30 10:40:05,2026-06-30 12:58:52,SELL,0.30000000000000004,7437.7,7454.2,SL_HIT,-4.34,10026.93,-4.34
2026-07-01 10:55:07,2026-07-01 15:38:34,BUY,0.30000000000000004,7471.1,7451.9,SL_HIT,-5.06,10021.87,-5.06
2026-07-02 09:45:03,2026-07-02 10:08:34,BUY,0.30000000000000004,7481.2,7471.5,SL_HIT,-2.55,10019.32,-2.55
2026-07-03 10:35:08,2026-07-06 00:00:29,SELL,0.30000000000000004,7496.0,7511.5,SL_HIT,-4.07,10015.25,-4.07
2026-07-06 08:45:06,2026-07-06 15:38:02,BUY,0.30000000000000004,7503.8,7503.8,SL_HIT,-0.0,10015.25,-4.07
2026-07-07 09:05:06,2026-07-07 15:58:03,BUY,0.30000000000000004,7525.3,7512.2,SL_HIT,-3.44,10011.82,-3.44
2026-07-10 08:35:03,2026-07-10 09:17:58,BUY,0.30000000000000004,7527.3,7533.3,TP_HIT,1.57,10013.39,1.57
2026-07-13 07:15:02,2026-07-13 07:23:10,BUY,0.30000000000000004,7537.9,7528.9,SL_HIT,-2.37,10011.03,-2.37
2026-07-13 09:09:58,2026-07-13 18:35:07,BUY,0.30000000000000004,7544.4,7520.5,SL_HIT,-6.3,10004.73,-8.67
2026-07-15 09:25:05,2026-07-15 14:42:57,SELL,0.30000000000000004,7558.3,7569.8,SL_HIT,-3.02,10001.71,-3.02
2026-07-16 09:14:08,2026-07-16 09:14:56,BUY,0.30000000000000004,7568.4,7566.7,SL_HIT,-0.44,10001.26,-0.44
2026-07-28 09:19:55,2026-07-28 15:39:19,BUY,0.30000000000000004,7403.6,7403.6,SL_HIT,-0.0,10001.26,0.0
2026-07-29 10:14:58,2026-07-29 10:50:02,SELL,0.30000000000000004,7441.3,7452.3,SL_HIT,-2.89,9998.37,-2.89
2026-08-03 08:29:58,2026-08-03 10:59:36,SELL,0.30000000000000004,7531.4,7531.4,SL_HIT,-0.0,9998.37,0.0
2026-08-04 10:35:03,2026-08-04 13:43:24,SELL,0.30000000000000004,7612.9,7623.9,SL_HIT,-2.86,9995.5,-2.86
2026-08-05 08:29:59,2026-08-05 09:00:47,SELL,0.30000000000000004,7766.1,7773.1,SL_HIT,-1.82,9993.69,-1.82
2026-08-05 09:34:58,2026-08-05 13:26:26,SELL,0.30000000000000004,7762.3,7772.9,SL_HIT,-2.75,9990.93,-4.57
2026-08-19 09:29:59,2026-08-19 14:50:00,BUY,0.30000000000000004,7696.2,7733.0,TP_HIT,9.49,10000.42,9.49
2026-08-20 09:34:28,2026-08-20 10:03:06,BUY,0.30000000000000004,7714.6,7709.1,SL_HIT,-1.41,9999.01,-1.41
